word	anger	anticipation	disgust	fear	joy	sadness	surprise	trust
retaliation	0.621	0	0	0.641	0	0	0	0
watchman	0	0	0	0	0	0	0	0.539
congressman	0	0	0	0	0	0	0	0.297
applaud	0	0	0	0	0	0	0	0.562
beliebers	0	0	0	0	0	0	0	0.227
unsure	0	0	0	0.172	0	0	0	0
hobby	0	0	0	0	0.328	0	0	0
publicspeaking	0	0	0	0.422	0	0	0	0
godisgood	0	0	0	0	0.597	0	0	0
blackmail	0.550	0	0	0.612	0	0	0	0
cystic	0	0	0.641	0	0	0	0	0
sick	0	0	0.578	0	0	0.531	0	0
music	0	0	0	0	0.531	0.016	0	0
glimmer	0	0.547	0	0	0.530	0	0.266	0
theocratic	0.303	0	0	0.391	0	0.125	0	0.422
zealous	0	0	0	0	0.393	0	0	0.258
doubtless	0	0	0	0	0	0	0	0.531
aggravates	0.719	0	0	0	0	0	0	0
congress	0	0	0.297	0	0	0	0	0.273
freak	0	0	0	0.562	0	0	0	0
discourage	0	0	0	0.281	0	0.547	0	0
haste	0	0.523	0	0	0	0	0	0
menace	0.545	0	0	0.672	0	0	0	0
farm	0	0.352	0	0	0	0	0	0
certified	0	0	0	0	0	0	0	0.695
bickering	0.578	0	0.336	0	0	0	0	0
banker	0	0	0	0	0	0	0	0.352
dissolution	0.391	0	0	0.375	0	0.480	0.336	0
decoy	0	0	0	0	0	0	0.492	0
votive	0	0	0	0	0	0	0	0.477
chargeable	0	0	0	0.312	0	0.203	0	0
goodies	0	0	0	0	0.594	0	0	0
stranger	0	0	0	0.453	0	0	0	0
tenderness	0	0	0	0	0.561	0	0	0
happydance	0	0	0	0	0.912	0	0	0
accused	0.641	0	0	0.469	0	0	0	0
praying	0	0	0	0.047	0	0	0	0
respite	0	0	0	0	0.324	0	0	0.422
flabby	0	0	0.555	0	0	0	0	0
gonorrhea	0.424	0	0.906	0.547	0	0.500	0	0
celebrations	0	0	0	0	0.833	0	0	0
defender	0	0	0	0	0	0	0	0.555
