word	weight	happy	funny	sad	lovely	exciting	angry	scary
kindness	7.51889910904903	0.11714239418506622	0.1887657791376114	0.221726194024086	0.278467059135437	-0.005320299416780472	0.1204361841082573	0.10546429455280304
raccoon	12.30753961703495	0.05329938232898723	0.21192267537117004	0.10755713284015656	0.12229904532432556	0.022124340757727623	0.15614187717437744	0.19383034110069275
punitive	12.841622102965207	0.09172344207763683	0.10948833078145981	0.14891169965267181	0.001977400854230038	-0.014714807271957397	0.24193041026592255	0.15661190450191498
priesthood	9.93665154564789	0.03342139720916759	0.05335387960076321	0.09757748246192921	0.08562092483043682	0.030538879334926605	0.035256583243608364	0.03877818584442139
incontinence	12.606782511887806	-0.03242678940296151	0.1307559460401535	0.0700139030814172	0.03660437464714039	0.0033836662769317627	0.006236430257558823	0.04780106246471405
snowy	9.362193608327866	0.11692284047603607	0.12841829657554626	0.1666814684867859	0.2834506630897522	0.12317860871553421	0.11655575037002563	0.25218141078948975
blackout	14.576223158353313	0.016843177378177643	0.02758287638425838	0.04689443111419678	-0.03983868658542633	-0.04516490176320076	0.07442481815814961	0.05964919179677963
sentinel	9.75459840920181	-0.06440360844135284	-0.039621923118829505	0.10757067799568176	0.0922641158103944	0.0054022204130887985	0.006914243102073558	0.10331219434738159
god	7.980214983605589	0.13690383732318878	0.16197675466537476	0.15351295471191406	0.2625044882297516	0.013153483159839996	0.16961264610290527	0.1685878038406372
romp	11.292808812347541	0.11091434955596924	0.2470945417881012	0.0847754254937172	0.254516065120697	0.1417137086391449	0.04648434743285179	0.20099598169326782
compress	11.793271649077987	-0.014938946813344955	0.13058920204639435	0.01773505285382282	0.07808708399534237	0.058631207793950924	-0.05023132264614105	0.07736904174089443
resigned	9.023263573431697	0.11753661930561066	0.060794398188591	0.1935722529888153	-0.0604575499892237	-0.006782063283026218	0.17204248905181885	0.0005564093589783825
imprudent	9.86669295704098	0.09930109977722168	0.19227291643619537	0.18361887335777283	0.08602321147918701	0.06684508174657822	0.15608611702919006	0.20346522331237793
